Gene symbol	RT-R-MDA-MB-231
MARCKSL1	642
FAM229A	44
TSSK3	1
BSDC1	383
ZBTB8B	0
ZBTB8A	595
ZBTB8OS	154
RBBP4	467
SYNC	245
KIAA1522	122
YARS	1289
S100PBP	191
FNDC5	5
HPCA	74
TMEM54	170
RNF19B	12
AK2	1794
AZIN2	355
TRIM62	21
ZNF362	109
A3GALT2	0
PHC2	1075
LOC101929464	0
ZSCAN20	15
CSMD2	0
HMGB4	0
CSMD2-AS1	0
C1orf94	1
GJB5	0
GJB4	0
GJB3	17
GJA4	0
SMIM12	415
DLGAP3	0
LOC653160	9
ZMYM6NB	105
ZMYM6	69
ZMYM1	81
SFPQ	5745
ZMYM4	215
KIAA0319L	677
NCDN	141
TFAP2E	36
PSMB2	988
C1orf216	81
CLSPN	891
AGO4	175
AGO1	97
AGO3	19
TEKT2	0
ADPRHL2	723
COL8A2	55
TRAPPC3	768
MAP7D1	1223
THRAP3	1421
SH3D21	5
EVA1B	0
STK40	959
LSM10	256
OSCP1	40
MRPS15	431
CSF3R	0
GRIK3	0
LINC01137	10
ZC3H12A	1863
MEAF6	653
SNIP1	136
DNALI1	356
GNL2	1108
RSPO1	169
C1orf109	26
CDCA8	1102
EPHA10	0
MANEAL	202
YRDC	454
C1orf122	607
MTF1	184
INPP5B	95
SF3A3	734
FHL3	93
UTP11L	591
POU3F1	1
LINC01343	0
RRAGC	1385
GJA9-MYCBP	247
MYCBP	246
GJA9	13
RHBDL2	27
AKIRIN1	401
NDUFS5	1579
MACF1	2932
KIAA0754	141
BMP8A	1
PPIEL	17
PABPC4	4117
LOC101929516	4
SNORA55	0
HEYL	27
NT5C1A	0
HPCAL4	4
PPIE	493
BMP8B	8
OXCT2	10
TRIT1	306
MYCL	17
MFSD2A	95
CAP1	3066
PPT1	1953
RLF	622
TMCO2	0
ZMPSTE24	402
COL9A2	33
SMAP2	155
ZFP69B	20
ZFP69	13
EXO5	139
ZNF684	21
RIMS3	47
NFYC-AS1	26
NFYC	809
KCNQ4	23
CITED4	34
CTPS1	348
SLFNL1-AS1	20
SLFNL1	0
SCMH1	405
FOXO6	95
EDN2	5
HIVEP3	196
GUCA2B	0
GUCA2A	0
FOXJ3	316
RIMKLA	38
ZMYND12	7
PPCS	505
CCDC30	3
PPIH	589
YBX1	2543
CLDN19	1
P3H1	179
C1orf50	31
LOC100129924	0
SVBP	102
ERMAP	9
ZNF691	16
LOC339539	16
SLC2A1	1577
SLC2A1-AS1	3
FAM183A	1
EBNA1BP2	1584
CFAP57	1
TMEM125	3
C1orf210	0
TIE1	48
MPL	8
CDC20	973
ELOVL1	860
MED8	377
SZT2	1162
HYI	1115
PTPRF	2078
KDM4A	313
KDM4A-AS1	36
ST3GAL3	52
LOC101929592	0
ARTN	58
IPO13	58
DPH2	154
ATP6V0B	1288
B4GALT2	1430
CCDC24	72
SLC6A9	77
KLF17	8
DMAP1	79
ERI3	71
ERI3-IT1	0
RNF220	1878
TMEM53	140
C1orf228	7
KIF2C	1414
RPS8	21641
SNORD55	2
SNORD46	5
SNORD38A	5
SNORD38B	4
BEST4	4
PLK3	148
TCTEX1D4	112
BTBD19	0
PTCH2	23
EIF2B3	220
HECTD3	96
UROD	849
ZSWIM5	5
LINC01144	3
HPDL	7
MUTYH	22
TOE1	243
TESK2	95
CCDC163P	11
MMACHC	1533
PRDX1	6843
AKR1A1	200
NASP	3109
CCDC17	5
GPBP1L1	1323
RPS15AP10	86
TMEM69	178
IPP	84
MAST2	361
PIK3R3	95
LOC101929626	2
TSPAN1	40
POMGNT1	96
LURAP1	6
RAD54L	387
LRRC41	375
UQCRH	3262
NSUN4	170
FAAH	5
FAAHP1	1
LINC01398	0
DMBX1	11
MKNK1-AS1	0
KNCN	0
MKNK1	101
MOB3C	155
ATPAF1	150
TEX38	0
EFCAB14-AS1	1
EFCAB14	432
CYP4B1	0
CYP4Z2P	0
CYP4A11	0
CYP4X1	4
CYP4Z1	2
CYP4A22	0
LINC00853	8
PDZK1IP1	221
TAL1	3
STIL	1059
CMPK1	662
LINC01389	6
FOXE3	4
FOXD2-AS1	1
FOXD2	45
TRABD2B	0
SKINTL	0
SLC5A9	0
SPATA6	1
AGBL4	0
BEND5	0
LOC101929721	0
AGBL4-IT1	0
ELAVL4	0
DMRTA2	2
FAF1	788
CDKN2C	201
C1orf185	0
RNF11	378
TTC39A	47
TTC39A-AS1	0
EPS15	292
OSBPL9	792
NRD1	1306
RAB3B	5
TXNDC12	809
KTI12	241
TXNDC12-AS1	0
BTF3L4	1318
ZFYVE9	101
CC2D1B	882
ORC1	69
PRPF38A	677
ZCCHC11	254
GPX7	9
FAM159A	0
COA7	127
ZYG11B	283
ZYG11A	54
ECHDC2	462
SCP2	296
PODN	0
SLC1A7	41
CPT2	297
C1orf123	381
MAGOH	2527
LOC100507564	1155
LRP8	2152
LOC105378732	0
SLC25A3P1	0
DMRTB1	0
GLIS1	3
NDC1	1080
YIPF1	383
DIO1	0
HSPB11	483
LRRC42	3187
LDLRAD1	1
TMEM59	1297
TCEANC2	11
CDCP2	0
CYB5RL	33
MRPL37	844
SSBP3	677
SSBP3-AS1	11
ACOT11	13
FAM151A	0
MROH7	0
MROH7-TTC4	0
TTC4	459
PARS2	68
TTC22	0
C1orf177	0
DHCR24	4029
TMEM61	7
BSND	0
PCSK9	159
USP24	348
LOC100507634	6
PPAP2B	238
PRKAA2	652
C1orf168	0
C8A	0
C8B	0
DAB1	0
DAB1-AS1	0
OMA1	103
TACSTD2	178
MYSM1	253
JUN	2875
LINC01135	0
LINC01358	0
HSD52	0
FGGY	25
LOC101926944	0
HOOK1	36
CYP2J2	5
C1orf87	0
LOC101926964	0
NFIA-AS2	0
NFIA	692
NFIA-AS1	0
MGC34796	2
TM2D1	621
INADL	27
L1TD1	2
KANK4	3
USP1	1724
DOCK7	90
ANGPTL3	0
ATG4C	132
LINC00466	2
FOXD3-AS1	127
FOXD3	19
ALG6	93
ITGB3BP	144
EFCAB7	5
DLEU2L	36
PGM1	598
ROR1	183
ROR1-AS1	9
UBE2U	0
CACHD1	14
RAVER2	85
JAK1	840
LINC01359	0
AK4	896
DNAJC6	125
LEPROT	1254
LEPR	103
PDE4B	11
LOC101927139	0
SGIP1	0
TCTEX1D1	0
INSL5	1
WDR78	1
MIER1	601
SLC35D1	107
C1orf141	0
IL23R	0
IL12RB2	0
SERBP1	4510
GADD45A	670
GNG12	790
GNG12-AS1	3
DIRAS3	13
WLS	779
RPE65	0
DEPDC1	576
DEPDC1-AS1	0
LRRC7	4
PIN1P1	2
LRRC40	300
SRSF11	5167
ANKRD13C	250
HHLA3	5
CTH	402
LOC101927244	0
PTGER3	3
ZRANB2-AS1	7
ZRANB2	1436
ZRANB2-AS2	3
NEGR1	26
NEGR1-IT1	0
LINC01360	0
LRRIQ3	1
FPGT	118
FPGT-TNNI3K	0
TNNI3K	0
ERICH3	5
ERICH3-AS1	1
CRYZ	528
TYW3	426
LHX8	0
SLC44A5	5
ACADM	315
DLSTP1	429
RABGGTB	667
SNORD45C	0
SNORD45A	2
SNORD45B	0
MSH4	1
ASB17	0
LOC101927342	0
ST6GALNAC3	33
ST6GALNAC5	12
PIGK	217
AK5	17
ZZZ3	535
USP33	1029
FAM73A	160
NEXN-AS1	16
NEXN	728
FUBP1	632
DNAJB4	31
GIPC2	0
MGC27382	0
PTGFR	20
IFI44L	20
IFI44	114
ADGRL4	0
LOC101927412	0
LOC101927434	0
ADGRL2	16
LINC01361	0
LOC101927587	0
LOC101927560	0
TTLL7	54
PRKACB	53
SAMD13	15
UOX	0
DNASE2B	1
RPF1	908
GNG5	692
SPATA1	42
CTBS	264
LINC01461	1
LINC01555	0
SSX2IP	239
LPAR3	0
MCOLN2	193
MCOLN3	63
WDR63	1
SYDE2	14
C1orf52	423
BCL10	307
LOC646626	13
DDAH1	628
CYR61	47053
ZNHIT6	591
COL24A1	6
ODF2L	666
CLCA2	2
CLCA1	0
CLCA4	0
CLCA3P	1
SH3GLB1	937
SEP15	1511
HS2ST1	455
LINC01140	1
LOC101927844	0
LMO4	1111
LINC01364	0
PKN2-AS1	11
PKN2	380
GTF2B	181
CCBL2	127
RBMXL1	529
GBP3	121
GBP1	193
GBP2	314
GBP7	4
GBP4	30
GBP5	11
LOC729930	0
GBP6	0
GBP1P1	1
LRRC8B	147
FLJ27354	1
LRRC8C	260
LRRC8D	325
GEMIN8P4	12
ZNF326	252
BARHL2	0
ZNF644	394
HFM1	0
CDC7	199
TGFBR3	333
BRDT	1
EPHX4	66
SETSIP	43
BTBD8	2
KIAA1107	21
C1orf146	3
GLMN	87
RPAP2	76
GFI1	7
EVI5	483
RPL5	13934
FAM69A	66
SNORD21	1
SNORA66	1
MTF2	382
TMED5	696
CCDC18	164
LOC100131564	95
DR1	379
FNBP1L	169
BCAR3	1412
LOC100129046	1
DNTTIP2	901
GCLM	809
ABCA4	5
ARHGAP29	1069
ABCD3	280
F3	3308
LINC01057	0
SLC44A3	9
CNN3	2532
LOC729970	19
ALG14	51
TMEM56	126
TMEM56-RWDD3	0
LOC101928118	0
RWDD3	179
FLJ31662	0
LOC100996635	2
LOC102723661	0
LOC101928241	0
PTBP2	230
DPYD	108
DPYD-AS1	0
DPYD-AS2	3
LOC729987	4
SNX7	679
LPPR5	1
LOC100129620	0
LPPR4	0
LOC101928270	0
PALMD	1
FRRS1	2
AGL	178
SLC35A3	323
HIAT1	314
SASS6	250
TRMT13	87
LRRC39	11
DBT	232
RTCA-AS1	7
RTCA	416
CDC14A	28
GPR88	0
LINC01349	0
VCAM1	1
EXTL2	290
SLC30A7	305
DPH5	411
LOC102606465	37
LOC101928370	3
S1PR1	5
LINC01307	0
RNU6-31P	0
OLFM3	0
DNAJA1P5	0
COL11A1	4
LOC101928436	0
RNPC3	109
AMY2B	32
ACTG1P4	28
AMY2A	2
AMY1A	23
AMY1C	22
AMY1B	33
LOC100129138	2
LOC101928476	0
PRMT6	90
NTNG1	0
VAV3	1
VAV3-AS1	0
SLC25A24	1023
NBPF4	0
NBPF6	0
FAM102B	26
HENMT1	0
PRPF38B	2782
FNDC7	1
STXBP3	60
AKNAD1	2
SPATA42	0
GPSM2	943
CLCC1	1370
WDR47	74
TAF13	95
TMEM167B	543
SCARNA2	17
C1orf194	0
KIAA1324	81
SARS	3450
CELSR2	61
PSRC1	419
MYBPHL	2
SORT1	459
PSMA5	653
SYPL2	54
ATXN7L2	44
CYB561D1	370
AMIGO1	10
GPR61	1
GNAI3	1037
GNAT2	2
AMPD2	373
GSTM4	159
GSTM2	45
GSTM1	42
GSTM5	0
GSTM3	634
EPS8L3	1
CSF1	1203
AHCYL1	4264
STRIP1	753
ALX3	0
LINC01397	0
UBL4B	1
SLC6A17	0
KCNC4-AS1	0
KCNC4	24
LOC440600	2
RBM15	364
SLC16A4	24
LAMTOR5	799
LAMTOR5-AS1	1
PROK1	0
CYMP	0
LOC440602	0
KCNA10	0
KCNA2	0
KCNA3	2
CD53	0
LRIF1	285
DRAM2	156
CEPT1	150
DENND2D	11
CHI3L2	0
CHIAP2	0
CHIA	0
PIFO	0
PGCP1	0
OVGP1	13
WDR77	566
ATP5F1	1987
C1orf162	5
TMIGD3	0
ADORA3	0
LINC01160	2
RAP1A	414
FAM212B	24
FAM212B-AS1	2
LOC101928718	2
DDX20	173
KCND3	0
KCND3-IT1	0
KCND3-AS1	0
LOC643355	0
CTTNBP2NL	419
WNT2B	5
ST7L	80
CAPZA1	1669
MOV10	302
RHOC	1956
PPM1J	8
FAM19A3	3
LINC01356	36
SLC16A1	86
AKR7A2P1	5
SLC16A1-AS1	4
LOC100996251	2
LRIG2	171
LOC643441	0
