Gene,Control,Resistant,Log2FoldChange,p-value
MIIP,159,212,0.41278152533847595,1.8141818536665456e-14
TNFRSF8,1,1,0.0,1.8141818536665456e-14
TNFRSF1B,203,390,0.9385994553358568,1.8141818536665456e-14
VPS13D,153,248,0.6932153913731796,1.8141818536665456e-14
DHRS3,81,220,1.430350554773348,1.8141818536665456e-14
HNRNPCL4,6,27,2.0,1.8141818536665456e-14
HNRNPCL3,6,27,2.0,1.8141818536665456e-14
HNRNPCL1,6,27,2.0,1.8141818536665456e-14
PRAMEF2,1,0,-1.0,1.8141818536665456e-14
HNRNPCL2,2,9,1.7369655941662063,1.8141818536665456e-14
PDPN,1,1,0.0,1.8141818536665456e-14
PRDM2,177,250,0.4958101229843742,1.8141818536665456e-14
KAZN,1,10,2.4594316186372973,1.8141818536665456e-14
TMEM51,184,347,0.9115620353324162,1.8141818536665456e-14
FHAD1,9,11,0.2630344058337938,1.8141818536665456e-14
EFHD2,1232,956,-0.3655819699168134,1.8141818536665456e-14
CTRC,0,1,1.0,1.8141818536665456e-14
CASP9,47,54,0.19639721280350333,1.8141818536665456e-14
DNAJC16,210,267,0.3449900017505873,1.8141818536665456e-14
AGMAT,47,26,-0.8300749985576876,1.8141818536665456e-14
DDI2,1,5,1.584962500721156,1.8141818536665456e-14
RSC1A1,1,0,-1.0,1.8141818536665456e-14
PLEKHM2,831,815,-0.028014376169596632,1.8141818536665456e-14
SLC25A34,5,7,0.41503749927884376,1.8141818536665456e-14
FBLIM1,39,221,2.4724877714627436,1.8141818536665456e-14
UQCRHL,581,626,0.107446289893755,1.8141818536665456e-14
FLJ37453,82,138,0.7439016413765827,1.8141818536665456e-14
SPEN,550,852,0.6304934227471326,1.8141818536665456e-14
ZBTB17,98,126,0.3593280666925563,1.8141818536665456e-14
FAM131C,1,5,1.584962500721156,1.8141818536665456e-14
EPHA2,1995,3458,0.7932432930356674,1.8141818536665456e-14
ARHGEF19,161,188,0.22239242133644802,1.8141818536665456e-14
RSG1,4,6,0.48542682717024166,1.8141818536665456e-14
FBXO42,75,111,0.5594274086140185,1.8141818536665456e-14
SZRD1,953,948,-0.007581178984402204,1.8141818536665456e-14
SPATA21,0,2,1.584962500721156,1.8141818536665456e-14
NECAP2,299,492,0.7166251458820306,1.8141818536665456e-14
CROCCP3,14,23,0.6780719051126377,1.8141818536665456e-14
NBPF1,295,234,-0.33293641906395,1.8141818536665456e-14
CROCCP2,74,89,0.2630344058337938,1.8141818536665456e-14
MST1P2,5,10,0.874469117916141,1.8141818536665456e-14
MST1L,4,10,1.1375035237499351,1.8141818536665456e-14
CROCC,68,137,1.0,1.8141818536665456e-14
MFAP2,18,75,2.0,1.8141818536665456e-14
ATP13A2,66,114,0.7794008604866028,1.8141818536665456e-14
SDHB,430,560,0.3803129015196946,1.8141818536665456e-14
PADI2,0,6,2.807354922057604,1.8141818536665456e-14
PADI1,50,64,0.3499424710569588,1.8141818536665456e-14
PADI3,18,54,1.533432200081074,1.8141818536665456e-14
PADI4,0,3,2.0,1.8141818536665456e-14
RCC2,2313,4689,1.019199058295249,1.8141818536665456e-14
ARHGEF10L,309,384,0.3125902303080262,1.8141818536665456e-14
KLHDC7A,2,7,1.4150374992788437,1.8141818536665456e-14
ALDH4A1,237,241,0.024045473966650913,1.8141818536665456e-14
IFFO2,154,231,0.5818565898533347,1.8141818536665456e-14
UBR4,1415,1765,0.31866407756546866,1.8141818536665456e-14
EMC1,563,583,0.05027320648122359,1.8141818536665456e-14
MRTO4,873,814,-0.10083322038215839,1.8141818536665456e-14
AKR7L,26,30,0.19930880822340666,1.8141818536665456e-14
AKR7A3,3,1,-1.0,1.8141818536665456e-14
LOC100506730,67,44,-0.5956097449206648,1.8141818536665456e-14
AKR7A2,1145,1151,0.007533672685407421,1.8141818536665456e-14
PQLC2,2,4,0.7369655941662062,1.8141818536665456e-14
CAPZB,3281,5013,0.6113867573202264,1.8141818536665456e-14
MINOS1,799,689,-0.21340363810919322,1.8141818536665456e-14
MINOS1-NBL1,120,130,0.11455976426285569,1.8141818536665456e-14
RPS14P3,5825,5695,-0.0325565551739507,1.8141818536665456e-14
NBL1,461,499,0.11403524324602948,1.8141818536665456e-14
TMCO4,133,81,-0.7085371858396887,1.8141818536665456e-14
OTUD3,65,111,0.7629608026991507,1.8141818536665456e-14
LINC01141,0,1,1.0,1.8141818536665456e-14
CAMK2N1,173,261,0.590479505688722,1.8141818536665456e-14
MUL1,277,299,0.10987761777237338,1.8141818536665456e-14
CDA,265,182,-0.5395825972171471,1.8141818536665456e-14
PINK1,750,581,-0.367793754605988,1.8141818536665456e-14
PINK1-AS,1422,1484,0.06152726916164572,1.8141818536665456e-14
DDOST,1009,1439,0.5117135186905175,1.8141818536665456e-14
KIF17,1,2,0.5849625007211562,1.8141818536665456e-14
SH2D5,58,100,0.7755684333899535,1.8141818536665456e-14
HP1BP3,1159,1442,0.3149464944762636,1.8141818536665456e-14
EIF4G3,400,521,0.38044757011496416,1.8141818536665456e-14
ECE1,2078,3115,0.5838054752032993,1.8141818536665456e-14
NBPF3,94,168,0.8310238279512364,1.8141818536665456e-14
RAP1GAP,9,23,1.2630344058337937,1.8141818536665456e-14
USP48,1641,2063,0.3299888436454493,1.8141818536665456e-14
LDLRAD2,225,345,0.6144492652215369,1.8141818536665456e-14
HSPG2,226,349,0.6246626245414139,1.8141818536665456e-14
LOC101928043,3,0,-2.0,1.8141818536665456e-14
LINC00339,40,30,-0.4033556942312085,1.8141818536665456e-14
CDC42,1560,1372,-0.1851389118308082,1.8141818536665456e-14
WNT4,5,2,-1.0,1.8141818536665456e-14
