Gene,Control,Resistant,Log2FoldChange,p-value
ZNF385B,21,12,-0.758991900496205,1.8141818536665456e-14
CWC22,329,436,0.40516725525478253,1.8141818536665456e-14
SCHLAP1,0,1,1.0,1.8141818536665456e-14
UBE2E3,896,884,-0.019430529948901414,1.8141818536665456e-14
ITGA4,2,0,-1.5849625007211563,1.8141818536665456e-14
CERKL,2,2,0.0,1.8141818536665456e-14
SSFA2,270,238,-0.18128223337312294,1.8141818536665456e-14
PPP1R1C,4,1,-1.3219280948873622,1.8141818536665456e-14
DNAJC10,614,1118,0.8635517207497918,1.8141818536665456e-14
FRZB,0,7,3.0,1.8141818536665456e-14
NCKAP1,255,281,0.13955135239879354,1.8141818536665456e-14
DUSP19,2,4,0.7369655941662062,1.8141818536665456e-14
NUP35,211,223,0.07943446749440491,1.8141818536665456e-14
ZNF804A,25,53,1.0544477840223765,1.8141818536665456e-14
LOC101927196,1,2,0.5849625007211562,1.8141818536665456e-14
FSIP2,28,18,-0.6100534816839867,1.8141818536665456e-14
LINC01473,0,2,1.584962500721156,1.8141818536665456e-14
ZC3H15,2136,2076,-0.04108569181516332,1.8141818536665456e-14
ITGAV,250,340,0.44208437507340037,1.8141818536665456e-14
FAM171B,9,14,0.5849625007211562,1.8141818536665456e-14
TFPI,1702,1547,-0.13767296353413214,1.8141818536665456e-14
GULP1,300,223,-0.42626475470209796,1.8141818536665456e-14
COL5A2,1,5,1.584962500721156,1.8141818536665456e-14
WDR75,528,667,0.3365803803600266,1.8141818536665456e-14
SLC40A1,3,7,1.0,1.8141818536665456e-14
ASNSD1,255,272,0.09275714091985245,1.8141818536665456e-14
ANKAR,15,14,-0.09310940439148147,1.8141818536665456e-14
OSGEPL1,47,54,0.19639721280350333,1.8141818536665456e-14
OSGEPL1-AS1,1,5,1.584962500721156,1.8141818536665456e-14
ORMDL1,505,608,0.2673048432120222,1.8141818536665456e-14
PMS1,106,112,0.07871197601404077,1.8141818536665456e-14
MSTN,0,1,1.0,1.8141818536665456e-14
C2orf88,5,23,2.0,1.8141818536665456e-14
HIBCH,188,166,-0.1785381317470204,1.8141818536665456e-14
INPP1,446,359,-0.31227792485364314,1.8141818536665456e-14
MFSD6,129,159,0.29956028185890793,1.8141818536665456e-14
NEMP2,37,61,0.7062687969432897,1.8141818536665456e-14
NAB1,347,313,-0.14832274695710138,1.8141818536665456e-14
GLS,352,359,0.028328723058494445,1.8141818536665456e-14
STAT1,411,475,0.20831723612472505,1.8141818536665456e-14
STAT4,2,2,0.0,1.8141818536665456e-14
MYO1B,376,366,-0.03878446042545156,1.8141818536665456e-14
NABP1,347,518,0.5766472325091525,1.8141818536665456e-14
LOC105747689,54,51,-0.08091999538356748,1.8141818536665456e-14
SDPR,56,53,-0.07800251200127321,1.8141818536665456e-14
TMEFF2,3,0,-2.0,1.8141818536665456e-14
SLC39A10,223,219,-0.025995208532944573,1.8141818536665456e-14
DNAH7,5,1,-1.5849625007211563,1.8141818536665456e-14
STK17B,223,266,0.25334100962994993,1.8141818536665456e-14
HECW2,5,26,2.169925001442312,1.8141818536665456e-14
LOC101927482,5,10,0.874469117916141,1.8141818536665456e-14
CCDC150,72,59,-0.2829339632714988,1.8141818536665456e-14
GTF3C3,172,265,0.620654207864465,1.8141818536665456e-14
C2orf66,2,4,0.7369655941662062,1.8141818536665456e-14
PGAP1,41,29,-0.4854268271702417,1.8141818536665456e-14
ANKRD44,47,29,-0.6780719051126377,1.8141818536665456e-14
SF3B1,665,674,0.019365324866931214,1.8141818536665456e-14
COQ10B,213,350,0.7138602339034137,1.8141818536665456e-14
HSPD1,3003,2697,-0.15499446456600413,1.8141818536665456e-14
HSPE1-MOB4,133,159,0.2558389044295898,1.8141818536665456e-14
HSPE1,804,595,-0.4336764525398178,1.8141818536665456e-14
MOB4,1354,1168,-0.21301792170957762,1.8141818536665456e-14
RFTN2,2,7,1.4150374992788437,1.8141818536665456e-14
MARS2,22,38,0.7618402628052354,1.8141818536665456e-14
BOLL,4,3,-0.3219280948873623,1.8141818536665456e-14
PLCL1,0,1,1.0,1.8141818536665456e-14
LOC101927619,1,0,-1.0,1.8141818536665456e-14
SATB2,67,116,0.7829018783330652,1.8141818536665456e-14
FTCDNL1,1,3,1.0,1.8141818536665456e-14
C2orf69,207,187,-0.14585086646345477,1.8141818536665456e-14
TYW5,153,172,0.16784168694182325,1.8141818536665456e-14
C2orf47,68,109,0.6728352567464905,1.8141818536665456e-14
SPATS2L,1427,1356,-0.07357525861024564,1.8141818536665456e-14
KCTD18,10,29,1.4474589769712212,1.8141818536665456e-14
SGOL2,504,415,-0.27969985949806503,1.8141818536665456e-14
AOX1,224,332,0.5655971758542251,1.8141818536665456e-14
LOC100507140,6,1,-1.8073549220576042,1.8141818536665456e-14
LOC101927795,107,155,0.5305147166987798,1.8141818536665456e-14
BZW1,218,276,0.338955106448015,1.8141818536665456e-14
CLK1,391,279,-0.4854268271702417,1.8141818536665456e-14
PPIL3,81,93,0.19703684705955357,1.8141818536665456e-14
NIF3L1,252,235,-0.10035052533246878,1.8141818536665456e-14
ORC2,127,143,0.16992500144231237,1.8141818536665456e-14
FAM126B,129,137,0.08615664374971455,1.8141818536665456e-14
NDUFB3,1023,955,-0.09913319201925144,1.8141818536665456e-14
CFLAR,1184,1217,0.03962707412071085,1.8141818536665456e-14
CFLAR-AS1,15,23,0.5849625007211562,1.8141818536665456e-14
CASP10,44,72,0.6979714625503425,1.8141818536665456e-14
CASP8,436,706,0.6940769353088004,1.8141818536665456e-14
ALS2CR12,0,1,1.0,1.8141818536665456e-14
TRAK2,262,353,0.42868656079069506,1.8141818536665456e-14
STRADB,280,198,-0.49780169967727717,1.8141818536665456e-14
ALS2CR11,10,4,-1.137503523749935,1.8141818536665456e-14
TMEM237,182,159,-0.19377174339668016,1.8141818536665456e-14
MPP4,4,7,0.6780719051126377,1.8141818536665456e-14
ALS2,88,163,0.881818573651686,1.8141818536665456e-14
CDK15,14,24,0.7369655941662062,1.8141818536665456e-14
FZD7,120,139,0.21041977967037184,1.8141818536665456e-14
KIAA2012,0,1,1.0,1.8141818536665456e-14
SUMO1,775,754,-0.03958000797468645,1.8141818536665456e-14
NOP58,849,1144,0.4298128519592423,1.8141818536665456e-14
SNORD11B,2,0,-1.5849625007211563,1.8141818536665456e-14
SNORD11,2,8,1.584962500721156,1.8141818536665456e-14
BMPR2,313,395,0.33473587118798254,1.8141818536665456e-14
FAM117B,15,14,-0.09310940439148147,1.8141818536665456e-14
ICA1L,37,30,-0.2937312030567103,1.8141818536665456e-14
WDR12,116,116,0.0,1.8141818536665456e-14
CARF,5,13,1.222392421336448,1.8141818536665456e-14
NBEAL1,41,66,0.6737717676790123,1.8141818536665456e-14
CYP20A1,581,667,0.19882894956576827,1.8141818536665456e-14
ABI2,591,1152,0.9617234320228221,1.8141818536665456e-14
RAPH1,239,287,0.2630344058337938,1.8141818536665456e-14
CD28,0,1,1.0,1.8141818536665456e-14
CTLA4,1,0,-1.0,1.8141818536665456e-14
PARD3B,152,251,0.7198920808072646,1.8141818536665456e-14
NRP2,156,208,0.41273838318925565,1.8141818536665456e-14
INO80D,152,280,0.8770384775282742,1.8141818536665456e-14
GCSHP3,22,50,1.1488633859144828,1.8141818536665456e-14
NDUFS1,164,259,0.6560455987826387,1.8141818536665456e-14
EEF1B2,4707,7024,0.5773839049572066,1.8141818536665456e-14
SNORD51,2,0,-1.5849625007211563,1.8141818536665456e-14
SNORA41,1,2,0.5849625007211562,1.8141818536665456e-14
GPR1,14,24,0.7369655941662062,1.8141818536665456e-14
GPR1-AS,0,2,1.584962500721156,1.8141818536665456e-14
ZDBF2,47,106,1.1565044856799906,1.8141818536665456e-14
ADAM23,6,5,-0.22239242133644802,1.8141818536665456e-14
MDH1B,1,7,2.0,1.8141818536665456e-14
FASTKD2,327,659,1.008770209627732,1.8141818536665456e-14
CPO,0,2,1.584962500721156,1.8141818536665456e-14
KLF7,87,186,1.0874628412503393,1.8141818536665456e-14
LOC101927865,0,1,1.0,1.8141818536665456e-14
CREB1,473,531,0.16653918660293057,1.8141818536665456e-14
METTL21A,54,124,1.1844245711374275,1.8141818536665456e-14
CCNYL1,217,418,0.9426221089224252,1.8141818536665456e-14
FZD5,69,99,0.5145731728297582,1.8141818536665456e-14
PLEKHM3,50,72,0.5173992169085216,1.8141818536665456e-14
CRYGD,0,2,1.584962500721156,1.8141818536665456e-14
IDH1,461,926,1.0046764872094733,1.8141818536665456e-14
IDH1-AS1,26,40,0.6026645024546152,1.8141818536665456e-14
PIKFYVE,165,201,0.28317205140487,1.8141818536665456e-14
MAP2,15,58,1.8826430493618413,1.8141818536665456e-14
RPE,159,303,0.925999418556223,1.8141818536665456e-14
KANSL1L,126,244,0.9479532522304046,1.8141818536665456e-14
LOC101928020,3,27,2.807354922057604,1.8141818536665456e-14
ACADL,0,7,3.0,1.8141818536665456e-14
MYL1,1,0,-1.0,1.8141818536665456e-14
LANCL1-AS1,2,0,-1.5849625007211563,1.8141818536665456e-14
LANCL1,367,407,0.14886338591448275,1.8141818536665456e-14
CPS1,23,34,0.5443205162238102,1.8141818536665456e-14
ERBB4,0,1,1.0,1.8141818536665456e-14
LOC102725079,1,0,-1.0,1.8141818536665456e-14
IKZF2,40,39,-0.035623909730721375,1.8141818536665456e-14
LOC100130451,0,1,1.0,1.8141818536665456e-14
SPAG16,40,38,-0.07214978575583542,1.8141818536665456e-14
VWC2L,0,1,1.0,1.8141818536665456e-14
BARD1,401,567,0.4986954283257535,1.8141818536665456e-14
LOC101928103,7,2,-1.415037499278844,1.8141818536665456e-14
ABCA12,10,1,-2.4594316186372973,1.8141818536665456e-14
ATIC,466,1318,1.4979501095418828,1.8141818536665456e-14
FN1,6484,26555,2.033859377383106,1.8141818536665456e-14
LOC102724849,0,2,1.584962500721156,1.8141818536665456e-14
MREG,21,44,1.0324214776923775,1.8141818536665456e-14
PECR,47,48,0.02974734339405193,1.8141818536665456e-14
TMEM169,4,7,0.6780719051126377,1.8141818536665456e-14
XRCC5,2050,3320,0.6952902310228565,1.8141818536665456e-14
PKI55,76,148,0.9523819797672602,1.8141818536665456e-14
MARCH4,31,105,1.7279204545631992,1.8141818536665456e-14
SMARCAL1,84,117,0.47325211322413946,1.8141818536665456e-14
RPL37A,18967,36385,0.9398158930477968,1.8141818536665456e-14
IGFBP2,9,2,-1.7369655941662063,1.8141818536665456e-14
DIRC3,1,0,-1.0,1.8141818536665456e-14
TNS1,14,37,1.341036917835067,1.8141818536665456e-14
CXCR2P1,0,1,1.0,1.8141818536665456e-14
CXCR2,0,1,1.0,1.8141818536665456e-14
ARPC2,3023,4523,0.5811407897687478,1.8141818536665456e-14
GPBAR1,0,6,2.807354922057604,1.8141818536665456e-14
AAMP,2906,4517,0.6361531992568471,1.8141818536665456e-14
PNKD,344,487,0.5002847858973548,1.8141818536665456e-14
TMBIM1,685,1146,0.7415849098430127,1.8141818536665456e-14
CATIP-AS2,2,5,1.0,1.8141818536665456e-14
CATIP-AS1,1,0,-1.0,1.8141818536665456e-14
SLC11A1,2,4,0.7369655941662062,1.8141818536665456e-14
CTDSP1,1223,1913,0.6449872717933738,1.8141818536665456e-14
USP37,255,405,0.6653359171851763,1.8141818536665456e-14
RQCD1,568,790,0.47524904216620995,1.8141818536665456e-14
PLCD4,38,73,0.9240511467667014,1.8141818536665456e-14
ZNF142,129,219,0.7589919004962051,1.8141818536665456e-14
BCS1L,104,147,0.49520784796282724,1.8141818536665456e-14
RNF25,30,44,0.5376567859427995,1.8141818536665456e-14
STK36,246,611,1.309020611107974,1.8141818536665456e-14
TTLL4,213,385,0.8509900508669336,1.8141818536665456e-14
CYP27A1,41,63,0.6076825772212396,1.8141818536665456e-14
PRKAG3,1,0,-1.0,1.8141818536665456e-14
WNT10A,13,30,1.1468413883292712,1.8141818536665456e-14
CDK5R2,39,93,1.232660756790275,1.8141818536665456e-14
CRYBA2,0,1,1.0,1.8141818536665456e-14
IHH,0,1,1.0,1.8141818536665456e-14
NHEJ1,41,44,0.09953567355091437,1.8141818536665456e-14
SLC23A3,0,3,2.0,1.8141818536665456e-14
CNPPD1,541,1000,0.885077217482122,1.8141818536665456e-14
FAM134A,555,817,0.5570159602182414,1.8141818536665456e-14
ZFAND2B,233,384,0.7183499159988591,1.8141818536665456e-14
ABCB6,191,313,0.7096582481704709,1.8141818536665456e-14
ATG9A,798,931,0.22213445172630358,1.8141818536665456e-14
ANKZF1,860,908,0.0782670567972631,1.8141818536665456e-14
GLB1L,690,782,0.18032659690278224,1.8141818536665456e-14
STK16,1613,2202,0.44882891642310274,1.8141818536665456e-14
TUBA4A,2196,2875,0.3885288060160213,1.8141818536665456e-14
TUBA4B,11,20,0.8073549220576041,1.8141818536665456e-14
DNAJB2,147,252,0.7735402090653604,1.8141818536665456e-14
PTPRN,1,0,-1.0,1.8141818536665456e-14
DNPEP,329,382,0.21487836767914134,1.8141818536665456e-14
DES,0,1,1.0,1.8141818536665456e-14
SPEG,167,272,0.7004397181410922,1.8141818536665456e-14
LOC100996693,2,1,-0.5849625007211563,1.8141818536665456e-14
GMPPA,150,269,0.838410857725752,1.8141818536665456e-14
ASIC4,0,2,1.584962500721156,1.8141818536665456e-14
CHPF,259,513,0.9832567361654236,1.8141818536665456e-14
TMEM198,7,17,1.1699250014423124,1.8141818536665456e-14
OBSL1,135,227,0.7454271729144023,1.8141818536665456e-14
INHA,5,1,-1.5849625007211563,1.8141818536665456e-14
STK11IP,224,361,0.6860646958661683,1.8141818536665456e-14
SLC4A3,17,16,-0.08246216019197299,1.8141818536665456e-14
EPHA4,27,25,-0.1069152039165119,1.8141818536665456e-14
PAX3,0,1,1.0,1.8141818536665456e-14
SGPP2,3,20,2.3923174227787602,1.8141818536665456e-14
FARSB,444,653,0.5554852996443224,1.8141818536665456e-14
MOGAT1,2,6,1.222392421336448,1.8141818536665456e-14
ACSL3,1057,1564,0.564823029705955,1.8141818536665456e-14
KCNE4,1,0,-1.0,1.8141818536665456e-14
SCG2,10,22,1.0641303374197155,1.8141818536665456e-14
AP1S3,820,841,0.03643801128859124,1.8141818536665456e-14
WDFY1,155,278,0.8387190929669393,1.8141818536665456e-14
MRPL44,189,293,0.6298167365054165,1.8141818536665456e-14
SERPINE2,254,1008,1.9843570222474993,1.8141818536665456e-14
CUL3,312,496,0.6670831946296679,1.8141818536665456e-14
DOCK10,61,136,1.1438357725736514,1.8141818536665456e-14
NYAP2,5,1,-1.5849625007211563,1.8141818536665456e-14
LOC646736,7,7,0.0,1.8141818536665456e-14
IRS1,856,1244,0.5387786328429435,1.8141818536665456e-14
RHBDD1,110,264,1.2554326831004556,1.8141818536665456e-14
COL4A4,6,17,1.3625700793847084,1.8141818536665456e-14
COL4A3,2,9,1.7369655941662063,1.8141818536665456e-14
LOC654841,0,4,2.321928094887362,1.8141818536665456e-14
MFF,351,466,0.4078471210723646,1.8141818536665456e-14
TM4SF20,1,0,-1.0,1.8141818536665456e-14
AGFG1,309,522,0.7545427309727037,1.8141818536665456e-14
SLC19A3,4,13,1.4854268271702418,1.8141818536665456e-14
CCL20,63,883,3.7879025593914317,1.8141818536665456e-14
DAW1,4,15,1.6780719051126378,1.8141818536665456e-14
PID1,70,402,2.5048889090232853,1.8141818536665456e-14
DNER,187,303,0.693338661765948,1.8141818536665456e-14
TRIP12,947,1659,0.808224277336028,1.8141818536665456e-14
FBXO36,9,8,-0.15200309344504995,1.8141818536665456e-14
SLC16A14,5,4,-0.2630344058337938,1.8141818536665456e-14
SP110,89,181,1.0159415438690216,1.8141818536665456e-14
SP140,36,68,0.8990710911492193,1.8141818536665456e-14
SP140L,159,250,0.6496154590634097,1.8141818536665456e-14
SP100,230,379,0.7181065669148903,1.8141818536665456e-14
CAB39,355,524,0.5604401815870873,1.8141818536665456e-14
ITM2C,178,461,1.367933264151801,1.8141818536665456e-14
GPR55,12,8,-0.5305147166987798,1.8141818536665456e-14
SPATA3-AS1,3,0,-2.0,1.8141818536665456e-14
C2orf72,15,20,0.3923174227787603,1.8141818536665456e-14
PSMD1,1271,1206,-0.07567299452933383,1.8141818536665456e-14
HTR2B,2,4,0.7369655941662062,1.8141818536665456e-14
ARMC9,165,451,1.445139531068263,1.8141818536665456e-14
B3GNT7,5,93,3.969626350956481,1.8141818536665456e-14
NCL,7506,11734,0.644509453751556,1.8141818536665456e-14
SNORA75,0,1,1.0,1.8141818536665456e-14
SNORD82,0,1,1.0,1.8141818536665456e-14
LINC00471,1,6,1.8073549220576042,1.8141818536665456e-14
NMUR1,0,1,1.0,1.8141818536665456e-14
PTMA,5521,9530,0.7874367028465796,1.8141818536665456e-14
PDE6D,179,268,0.5796092662269494,1.8141818536665456e-14
COPS7B,187,304,0.6980765807726113,1.8141818536665456e-14
DIS3L2,102,128,0.32472672824003584,1.8141818536665456e-14
ECEL1P2,0,1,1.0,1.8141818536665456e-14
TIGD1,24,64,1.3785116232537298,1.8141818536665456e-14
EIF4E2,791,1318,0.7358722291719351,1.8141818536665456e-14
EFHD1,34,48,0.48542682717024166,1.8141818536665456e-14
GIGYF2,784,1304,0.7332852476782575,1.8141818536665456e-14
KCNJ13,2,0,-1.5849625007211563,1.8141818536665456e-14
C2orf82,2,2,0.0,1.8141818536665456e-14
NGEF,155,176,0.18220333122074905,1.8141818536665456e-14
ATG16L1,137,188,0.4537179674429037,1.8141818536665456e-14
SCARNA5,3,2,-0.4150374992788438,1.8141818536665456e-14
SAG,0,1,1.0,1.8141818536665456e-14
DGKD,272,583,1.0970674179601647,1.8141818536665456e-14
USP40,443,793,0.8385793307928517,1.8141818536665456e-14
UGT1A3,0,1,1.0,1.8141818536665456e-14
HJURP,802,1380,0.7822414267407364,1.8141818536665456e-14
MSL3P1,113,222,0.9680098857555631,1.8141818536665456e-14
TRPM8,1,0,-1.0,1.8141818536665456e-14
ARL4C,2858,2946,0.04373644049290225,1.8141818536665456e-14
SH3BP4,316,789,1.317369812925058,1.8141818536665456e-14
AGAP1,297,515,0.7920587349610925,1.8141818536665456e-14
AGAP1-IT1,5,4,-0.2630344058337938,1.8141818536665456e-14
IQCA1,0,1,1.0,1.8141818536665456e-14
ACKR3,0,2,1.584962500721156,1.8141818536665456e-14
COPS8,392,549,0.48490230615341545,1.8141818536665456e-14
COL6A3,70,61,-0.19555080911780695,1.8141818536665456e-14
MLPH,638,1103,0.7888523358311746,1.8141818536665456e-14
RAB17,5,18,1.6629650127224291,1.8141818536665456e-14
LRRFIP1,3038,5487,0.852683806650518,1.8141818536665456e-14
RBM44,4,7,0.6780719051126377,1.8141818536665456e-14
RAMP1,160,110,-0.536501011764511,1.8141818536665456e-14
UBE2F,193,250,0.3716307117636444,1.8141818536665456e-14
UBE2F-SCLY,91,128,0.48766529936624126,1.8141818536665456e-14
SCLY,0,1,1.0,1.8141818536665456e-14
ESPNL,0,5,2.584962500721156,1.8141818536665456e-14
KLHL30,3,38,3.2854022188622483,1.8141818536665456e-14
FAM132B,91,190,1.0538668719787359,1.8141818536665456e-14
ILKAP,693,1216,0.8103216001354675,1.8141818536665456e-14
LOC643387,651,756,0.2154213357546542,1.8141818536665456e-14
HES6,163,240,0.5553373316118779,1.8141818536665456e-14
PER2,32,92,1.494764691749578,1.8141818536665456e-14
TRAF3IP1,408,795,0.9606675876019001,1.8141818536665456e-14
ASB1,1165,2514,1.1089906114923929,1.8141818536665456e-14
LINC01107,2,0,-1.5849625007211563,1.8141818536665456e-14
FLJ43879,0,1,1.0,1.8141818536665456e-14
HDAC4,69,137,0.9792414398332027,1.8141818536665456e-14
NDUFA10,721,1285,0.8328199004407764,1.8141818536665456e-14
MYEOV2,768,808,0.07315610446815106,1.8141818536665456e-14
GPC1,133,208,0.6412699416231102,1.8141818536665456e-14
PP14571,2,3,0.41503749927884376,1.8141818536665456e-14
ANKMY1,22,65,1.5208321633014406,1.8141818536665456e-14
DUSP28,40,48,0.25715783949712445,1.8141818536665456e-14
RNPEPL1,249,398,0.6744606515602588,1.8141818536665456e-14
CAPN10-AS1,8,32,1.874469117916141,1.8141818536665456e-14
CAPN10,58,74,0.34617564113403954,1.8141818536665456e-14
GPR35,2,7,1.4150374992788437,1.8141818536665456e-14
C2orf54,0,2,1.584962500721156,1.8141818536665456e-14
SNED1,15,29,0.9068905956085185,1.8141818536665456e-14
MTERF4,147,217,0.5587309591479767,1.8141818536665456e-14
PASK,44,55,0.3155018257279294,1.8141818536665456e-14
PPP1R7,228,481,1.0736855481330176,1.8141818536665456e-14
ANO7,13,21,0.6520766965796931,1.8141818536665456e-14
HDLBP,2200,3978,0.8542467538021803,1.8141818536665456e-14
SEPT2,854,1515,0.8262734283978316,1.8141818536665456e-14
FARP2,32,66,1.021695071099319,1.8141818536665456e-14
STK25,756,1609,1.0886954830162476,1.8141818536665456e-14
BOK-AS1,0,2,1.584962500721156,1.8141818536665456e-14
BOK,214,320,0.5782366375328429,1.8141818536665456e-14
THAP4,560,866,0.6280312226130421,1.8141818536665456e-14
ATG4B,586,1509,1.363116141102389,1.8141818536665456e-14
DTYMK,878,1055,0.26467476421504954,1.8141818536665456e-14
ING5,180,192,0.09261115018487513,1.8141818536665456e-14
D2HGDH,119,316,1.4014484345308886,1.8141818536665456e-14
NEU4,1,5,1.584962500721156,1.8141818536665456e-14
PDCD1,0,1,1.0,1.8141818536665456e-14
LINC01237,0,1,1.0,1.8141818536665456e-14
LOC728323,46,130,1.4788341498598128,1.8141818536665456e-14
C20orf96,210,198,-0.08447456816353635,1.8141818536665456e-14
ZCCHC3,222,301,0.4375048394047741,1.8141818536665456e-14
NRSN2-AS1,26,31,0.24511249783653138,1.8141818536665456e-14
SOX12,700,895,0.35408428804698083,1.8141818536665456e-14
NRSN2,32,48,0.5703157247567547,1.8141818536665456e-14
TRIB3,239,1269,2.40372218605101,1.8141818536665456e-14
RBCK1,244,583,1.2531866198774468,1.8141818536665456e-14
TBC1D20,266,326,0.29245089381052874,1.8141818536665456e-14
CSNK2A1,720,1074,0.5762654952360001,1.8141818536665456e-14
TCF15,0,1,1.0,1.8141818536665456e-14
SRXN1,3887,3619,-0.10303852163521326,1.8141818536665456e-14
SLC52A3,1,7,2.0,1.8141818536665456e-14
FAM110A,954,982,0.04169068341746956,1.8141818536665456e-14
PSMF1,662,784,0.24368378366640162,1.8141818536665456e-14
TMEM74B,3,16,2.0874628412503395,1.8141818536665456e-14
SNPH,170,130,-0.38442951334844755,1.8141818536665456e-14
SDCBP2,32,33,0.04306872189188593,1.8141818536665456e-14
FKBP1A-SDCBP2,32,33,0.04306872189188593,1.8141818536665456e-14
SDCBP2-AS1,27,53,0.9475325801058645,1.8141818536665456e-14
FKBP1A,4380,4650,0.08628072520166058,1.8141818536665456e-14
NSFL1C,852,743,-0.19724312021025886,1.8141818536665456e-14
SIRPD,0,1,1.0,1.8141818536665456e-14
SIRPG-AS1,1,1,0.0,1.8141818536665456e-14
SIRPA,32,17,-0.8744691179161412,1.8141818536665456e-14
STK35,489,532,0.12135378375660522,1.8141818536665456e-14
SNRPB,3718,3305,-0.16982802331967387,1.8141818536665456e-14
ZNF343,57,71,0.3119440063147403,1.8141818536665456e-14
TMC2,0,1,1.0,1.8141818536665456e-14
NOP56,1826,2365,0.3729734397122999,1.8141818536665456e-14
SNORD110,0,1,1.0,1.8141818536665456e-14
SNORA51,5,0,-2.584962500721156,1.8141818536665456e-14
SNORD86,1,2,0.5849625007211562,1.8141818536665456e-14
SNORD57,7,17,1.1699250014423124,1.8141818536665456e-14
IDH3B,490,584,0.25271360015607375,1.8141818536665456e-14
EBF4,32,52,0.6835263352047457,1.8141818536665456e-14
C20orf141,3,1,-1.0,1.8141818536665456e-14
PCED1A,990,1641,0.7284971645913166,1.8141818536665456e-14
VPS16,283,348,0.2973361067049702,1.8141818536665456e-14
PTPRA,304,223,-0.4453105103926446,1.8141818536665456e-14
MRPS26,1026,835,-0.29686133423731226,1.8141818536665456e-14
UBOX5-AS1,40,29,-0.4506614090095652,1.8141818536665456e-14
UBOX5,38,43,0.1740293997750489,1.8141818536665456e-14
FASTKD5,346,467,0.4315728670051435,1.8141818536665456e-14
LZTS3,28,48,0.7567288489876361,1.8141818536665456e-14
DDRGK1,619,414,-0.5791568790399505,1.8141818536665456e-14
ITPA,2048,2694,0.39536528862862125,1.8141818536665456e-14
SLC4A11,605,572,-0.08078265471604612,1.8141818536665456e-14
C20orf194,109,215,0.973527788638809,1.8141818536665456e-14
ATRN,305,329,0.10893437155316393,1.8141818536665456e-14
ADAM33,1,1,0.0,1.8141818536665456e-14
HSPA12B,2,2,0.0,1.8141818536665456e-14
C20orf27,505,424,-0.25167454366924596,1.8141818536665456e-14
SPEF1,3,7,1.0,1.8141818536665456e-14
CENPB,1031,954,-0.11187033250014311,1.8141818536665456e-14
CDC25B,2304,2470,0.10032826001208409,1.8141818536665456e-14
LOC101929125,13,12,-0.1069152039165119,1.8141818536665456e-14
AP5S1,186,134,-0.4700788628368058,1.8141818536665456e-14
MAVS,2104,2279,0.11521359109834567,1.8141818536665456e-14
PANK2,383,532,0.4730292220380196,1.8141818536665456e-14
RNF24,393,370,-0.086776442835573,1.8141818536665456e-14
SMOX,96,147,0.609540523441822,1.8141818536665456e-14
LINC01433,2,9,1.7369655941662063,1.8141818536665456e-14
ADRA1D,0,1,1.0,1.8141818536665456e-14
PRNP,1828,2748,0.5878518317642368,1.8141818536665456e-14
PRND,2,1,-0.5849625007211563,1.8141818536665456e-14
RASSF2,46,238,2.346277956303111,1.8141818536665456e-14
SLC23A2,310,513,0.7248537790632755,1.8141818536665456e-14
TMEM230,452,658,0.5407674149618168,1.8141818536665456e-14
PCNA,1152,881,-0.38654195209425124,1.8141818536665456e-14
CDS2,334,365,0.12768255293890762,1.8141818536665456e-14
LOC643406,2,0,-1.5849625007211563,1.8141818536665456e-14
LINC00654,13,16,0.2801079191927352,1.8141818536665456e-14
GPCPD1,273,537,0.9734302795960974,1.8141818536665456e-14
C20orf196,21,18,-0.21150410519371174,1.8141818536665456e-14
TRMT6,667,842,0.33568452846803015,1.8141818536665456e-14
MCM8,441,383,-0.20294005867027534,1.8141818536665456e-14
MCM8-AS1,34,27,-0.3219280948873623,1.8141818536665456e-14
CRLS1,352,283,-0.31377725376649823,1.8141818536665456e-14
LRRN4,3,0,-2.0,1.8141818536665456e-14
FERMT1,248,314,0.33920608631919785,1.8141818536665456e-14
CASC20,0,1,1.0,1.8141818536665456e-14
BMP2,9,14,0.5849625007211562,1.8141818536665456e-14
HAO1,0,1,1.0,1.8141818536665456e-14
TMX4,343,261,-0.39284175316464764,1.8141818536665456e-14
PLCB1,0,3,2.0,1.8141818536665456e-14
PLCB4,0,104,6.714245517666122,1.8141818536665456e-14
PAK7,0,1,1.0,1.8141818536665456e-14
ANKEF1,11,32,1.4594316186372973,1.8141818536665456e-14
SNAP25,6,0,-2.807354922057604,1.8141818536665456e-14
MKKS,673,773,0.19958497496255184,1.8141818536665456e-14
SLX4IP,21,15,-0.4594316186372972,1.8141818536665456e-14
JAG1,384,371,-0.04955582447423234,1.8141818536665456e-14
LINC00687,0,2,1.584962500721156,1.8141818536665456e-14
BTBD3,53,60,0.17584983539941762,1.8141818536665456e-14
LOC101929486,0,1,1.0,1.8141818536665456e-14
SPTLC3,55,31,-0.8073549220576042,1.8141818536665456e-14
ISM1,35,73,1.0395283641866373,1.8141818536665456e-14
ISM1-AS1,0,1,1.0,1.8141818536665456e-14
TASP1,20,38,0.8930847960834881,1.8141818536665456e-14
ESF1,1151,1435,0.31791503238073887,1.8141818536665456e-14
NDUFAF5,95,104,0.12928301694496647,1.8141818536665456e-14
MACROD2,4,0,-2.321928094887362,1.8141818536665456e-14
KIF16B,64,108,0.7458165117484719,1.8141818536665456e-14
