Gene symbol	MDA-MB-231
EPHA10	1
MANEAL	126
YRDC	279
C1orf122	734
MTF1	182
INPP5B	53
SF3A3	686
FHL3	95
UTP11L	388
POU3F1	0
LINC01343	0
RRAGC	771
GJA9-MYCBP	417
MYCBP	422
GJA9	2
RHBDL2	33
AKIRIN1	359
NDUFS5	1738
MACF1	2227
KIAA0754	97
BMP8A	1
PPIEL	16
PABPC4	3249
LOC101929516	1
SNORA55	0
HEYL	7
NT5C1A	0
HPCAL4	0
PPIE	469
BMP8B	2
OXCT2	10
TRIT1	237
MYCL	7
MFSD2A	96
CAP1	2312
PPT1	1690
RLF	481
TMCO2	0
ZMPSTE24	404
COL9A2	49
SMAP2	132
ZFP69B	1
ZFP69	11
EXO5	80
ZNF684	17
RIMS3	16
NFYC-AS1	17
NFYC	595
KCNQ4	15
CITED4	42
CTPS1	362
SLFNL1-AS1	19
SLFNL1	0
SCMH1	381
FOXO6	50
EDN2	11
HIVEP3	321
GUCA2B	0
GUCA2A	0
FOXJ3	185
RIMKLA	21
ZMYND12	3
PPCS	391
CCDC30	0
PPIH	707
YBX1	1886
CLDN19	0
P3H1	175
C1orf50	35
LOC100129924	0
SVBP	132
ERMAP	9
ZNF691	12
LOC339539	3
SLC2A1	1647
SLC2A1-AS1	0
FAM183A	1
EBNA1BP2	1863
CFAP57	1
TMEM125	0
C1orf210	1
TIE1	0
MPL	7
CDC20	791
ELOVL1	997
MED8	300
SZT2	1310
HYI	1272
PTPRF	1589
KDM4A	204
KDM4A-AS1	29
ST3GAL3	48
LOC101929592	0
ARTN	76
IPO13	63
DPH2	148
ATP6V0B	1149
B4GALT2	1360
CCDC24	64
SLC6A9	66
KLF17	3
DMAP1	83
ERI3	89
ERI3-IT1	0
RNF220	1423
TMEM53	153
C1orf228	0
KIF2C	1122
RPS8	15910
SNORD55	1
SNORD46	9
SNORD38A	5
SNORD38B	1
BEST4	1
PLK3	63
TCTEX1D4	44
BTBD19	0
PTCH2	22
EIF2B3	258
HECTD3	76
UROD	522
ZSWIM5	4
LINC01144	1
HPDL	6
MUTYH	21
TOE1	150
TESK2	95
CCDC163P	7
MMACHC	1489
PRDX1	6786
AKR1A1	150
NASP	3171
CCDC17	8
GPBP1L1	1000
RPS15AP10	108
TMEM69	144
IPP	103
MAST2	281
PIK3R3	116
LOC101929626	0
TSPAN1	68
POMGNT1	98
LURAP1	2
RAD54L	361
LRRC41	370
UQCRH	3359
NSUN4	101
FAAH	2
FAAHP1	2
LINC01398	0
DMBX1	2
MKNK1-AS1	2
KNCN	0
MKNK1	152
MOB3C	127
ATPAF1	167
TEX38	0
EFCAB14-AS1	0
EFCAB14	401
CYP4B1	0
CYP4Z2P	0
CYP4A11	0
CYP4X1	0
CYP4Z1	0
CYP4A22	0
LINC00853	2
PDZK1IP1	191
TAL1	0
STIL	779
CMPK1	627
LINC01389	4
FOXE3	0
FOXD2-AS1	3
FOXD2	30
TRABD2B	0
SKINTL	0
SLC5A9	0
SPATA6	0
AGBL4	0
BEND5	0
LOC101929721	0
AGBL4-IT1	0
ELAVL4	0
DMRTA2	5
FAF1	567
CDKN2C	276
C1orf185	0
RNF11	275
TTC39A	20
TTC39A-AS1	0
EPS15	285
OSBPL9	671
NRD1	1055
RAB3B	15
TXNDC12	448
KTI12	121
TXNDC12-AS1	0
BTF3L4	775
ZFYVE9	70
CC2D1B	405
ORC1	49
PRPF38A	455
ZCCHC11	130
GPX7	9
FAM159A	0
COA7	43
ZYG11B	321
ZYG11A	38
ECHDC2	344
SCP2	218
PODN	0
SLC1A7	6
CPT2	185
C1orf123	295
MAGOH	2445
LOC100507564	731
LRP8	1546
LOC105378732	0
SLC25A3P1	0
DMRTB1	0
GLIS1	3
NDC1	734
YIPF1	300
DIO1	0
HSPB11	427
LRRC42	2472
LDLRAD1	0
TMEM59	806
TCEANC2	5
CDCP2	0
CYB5RL	16
MRPL37	655
SSBP3	330
SSBP3-AS1	5
ACOT11	2
FAM151A	0
MROH7	0
MROH7-TTC4	0
TTC4	357
PARS2	23
TTC22	0
C1orf177	0
DHCR24	2033
TMEM61	7
BSND	0
PCSK9	187
USP24	234
LOC100507634	5
PPAP2B	272
PRKAA2	418
C1orf168	0
C8A	0
C8B	0
DAB1	0
DAB1-AS1	0
OMA1	56
TACSTD2	207
MYSM1	237
JUN	1985
LINC01135	1
LINC01358	0
HSD52	0
FGGY	6
LOC101926944	0
HOOK1	7
CYP2J2	1
C1orf87	0
LOC101926964	1
NFIA-AS2	0
NFIA	514
NFIA-AS1	0
MGC34796	3
TM2D1	522
INADL	11
L1TD1	0
KANK4	0
USP1	1313
DOCK7	77
ANGPTL3	0
ATG4C	90
LINC00466	0
FOXD3-AS1	53
FOXD3	0
ALG6	79
ITGB3BP	149
EFCAB7	5
DLEU2L	31
PGM1	555
